CollegeName,Exam/Mode of Admission,1st Round Cutoff,2nd Round Cutoff,3rd Round Cutoff,,,,
College of Management Studies,CET,85,82,79,,,,
Pune Business School,CET,80,75,70,,,,
Modern Business Institute,Management Quota,90,88,85,,,,
Global Business Academy,CET,78,76,73,,,,
Elite Institute of Management,CET,83,80,77,,,,
Skyline Management College,Management Quota,92,90,87,,,,
Pune Institute of Business Studies,CET,81,79,76,,,,
Bright Future College,CET,79,76,73,,,,
Advance Business School,CET,84,81,78,,,,
New Era Institute of Management,CET,86,83,80,,,,
Heritage Business Academy,Management Quota,89,87,85,,,,
Pinnacle Management School,CET,80,77,74,,,,
Achievers Institute of Business,CET,75,72,69,,,,
Innovative Management College,CET,82,78,75,,,,
Universal Business Academy,Management Quota,88,85,82,,,,
Visionary Business Institute,CET,77,74,71,,,,recommended data
Legacy Institute of Management,CET,84,81,78,,,,
Zenith Business School,Management Quota,91,89,86,,,,
Rising Star Management College,CET,79,76,73,,,,
Lifeline Institute of Business,CET,80,77,74,,,,
Golden Era Business School,CET,85,82,79,,,,
Future Vision Institute,CET,78,75,72,,,,
Crestline Business Academy,Management Quota,87,84,81,,,,
Summit Management Institute,CET,82,79,76,,,,
Milestone Business School,Management Quota,90,88,85,,,,
